fecha,modelo,k,frac_val,seed,ndcg_local,ndcg_kaggle,notas
2026-08-25,popularity_sin_filtro,20,,,,0.00954,"baseline sin filtrar libros ya leidos (mismo top-20 para todos, sin descartar lo que el usuario ya leyo); generada antes de este repo, no hay codigo equivalente en el proyecto; referencia historica"
2026-08-25,popularity,20,0.2,42,0.009960,0.01024,"score bayesiano (C=avg interacciones/libro, m=rating promedio global) + filtro de libros ya leidos, fit solo con train; este filtro esta en el codigo desde el primer commit de submit.py"
2026-08-25,popularity_segmentada,20,0.2,42,0.022563,0.01558,"fallback genero preferido -> franja de nacimiento -> popularidad global, con filtro de ya leidos; todo fit solo con train"
